"","t.5","t.5.1","t.15","t.15.1","t.30","t.30.1","t.60","t.60.1","t.60.2","t.60.3","t.60.4","t.120","t.120.1","t.120.2","t.180","t.180.2","t.240","t.240.1","t.240.2","t.300","t.300.1","t.360","t.360.1"
"aceB",-0.282,-0.506,-0.068,-0.144,-0.032,-0.0283,0.31,0.031,0.304,0.0198,0.438,0.5,0.52,1.03,0.371,0.905,0.252,0.588,0.751,0.473,0.793,0.402,0.739
"aceA",-0.152,-0.21,0.171,0.0388,0.223,0.311,0.512,0.389,0.711,0.537,0.546,0.893,0.893,0.893,0.711,0.711,0.59,0.59,0.59,0.372,0.372,0.35,0.35
"aceK",-0.181,-0.314,0.099,-0.0893,0.14,0.138,0.435,0.237,0.566,0.208,0.0377,0.756,0.758,0.512,0.696,0.313,0.691,0.68,0.57,0.666,0.455,0.65,0.457
"acs",1.36,1.25,1.46,1.24,1.42,1.02,1.2,1.33,1.38,1.4,1.33,1.32,1.14,0.0943,1.12,1.12,1.27,1.26,1.25,1.27,1.28,1.42,1.42
"gatD",0.363,0.504,0.192,0.341,0.229,0.215,0.6,0.423,0.759,0.603,0.596,0.864,0.995,0.0943,0.753,0.753,0.788,1.23,1.01,1.26,1.26,1.12,1.12
"gatA",0.383,0.383,0.136,0.328,0.0285,0.186,0.392,0.351,0.606,0.45,0.687,0.882,0.857,0.831,1.02,0.941,0.991,0.963,0.935,1.14,1.14,1.01,1.01
"gatC",0.458,0.583,0.229,0.381,0.152,0.263,0.446,0.422,0.564,0.322,0.489,0.873,0.693,0.66,0.933,0.847,0.838,1.24,1.07,1.17,0.981,1.23,0.99
"sucD",-0.0503,-0.115,-0.5,-0.477,-0.615,-0.469,-0.247,-0.516,-0.192,-0.0567,-0.0467,-0.254,0.49,0.535,0.174,0.819,0.222,0.85,0.891,0.856,0.9,0.872,0.902
"sucC",-0.0085,0.102,-0.314,-0.324,-0.4,-0.152,-0.212,-0.234,-0.164,0.0737,-0.0492,0.539,0.421,0.572,0.79,0.948,0.721,0.809,0.945,0.805,0.868,0.582,0.838
"sdhB",0.0213,-0.0858,-0.253,-0.187,-0.21,-0.0685,0.0818,-0.0668,-0.028,0.042,0.181,0.566,0.663,0.759,0.729,0.862,0.685,0.785,0.886,0.779,0.779,0.743,0.743
"sdhA",0.0403,-0.0138,-0.0648,-0.108,-0.113,-0.0125,0.141,0.065,0.0978,0.132,0.226,0.694,0.559,0.843,0.895,1.03,0.804,0.84,0.998,0.768,0.824,0.67,0.857
"sucB",-0.0408,-0.0368,-0.39,-0.317,-0.356,-0.215,-0.203,-0.226,-0.156,-0.183,-0.147,0.446,0.438,0.43,0.662,0.654,0.633,0.671,0.708,0.601,0.657,0.661,0.661
